Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2017,nl Ajax,26,18.4,2.27,6,89.7,89.8,65.8,18,29,29.62,208,1413,2600,1843
2017,it Atalanta,28.2,17.9,1.7,5.17,88,84.6,62.1,6,49,25.33,189,1142,1646,1137
2017,es Atlético Madrid,27.9,13.2,1.14,2.5,87.3,81.9,47.3,15,76,15.4,286,1717,2207,1092
2017,es Barcelona,25.9,14.8,1.08,1.83,90.9,90.5,65.2,4,26,19.33,164,1036,2168,1140
2017,de Bayern Munich,26.9,22.1,2.33,6.6,90.5,89.8,69.7,18,46,34.2,284,2009,3459,2308
2017,pt Benfica,27.7,13.6,1.1,3.4,84.9,86.2,55.5,10,30,15.9,263,2013,2190,1059
2017,tr Beşiktaş,28,22.8,0.9,1.83,87.9,83,55,13,24,14.33,207,1210,1647,581
2017,eng Chelsea,27.4,20.5,1.68,5.23,93.2,89.6,60.5,11,25,28.84,252,1665,3731,2560
2017,be Club Brugge,26.2,16.5,1.02,4.33,83.5,78,54.8,9,24,17.67,200,1183,1180,829
2017,de Dortmund,26.2,15.8,1.65,4.5,88.1,87.8,60.8,7,20,25.67,169,1092,1933,1040
2017,ua Dynamo Kyiv,25.5,7.7,0.71,2.83,89.1,85.8,56.2,6,20,14,178,1411,1293,715
2017,it Inter,29,12.2,1.59,4.75,88.9,88.9,66,12,41,28,219,1670,2147,1254
2017,it Juventus,27.3,13.1,1.46,4.25,89.1,91.2,66,18,44,23.25,234,1566,2628,1211
2017,fr Lille,26.4,9.4,1.11,2.5,85.4,83.4,56.4,5,45,18.62,206,1404,2209,1005
2017,eng Liverpool,27.3,18.2,1.98,6.08,90.7,89,63.7,25,68,30,354,2450,5012,2772
2017,se Malmö,28.4,12.7,0.27,1.17,86.9,82.6,53.3,6,21,10.33,133,1201,1369,441
2017,eng Manchester City,27.2,18.6,2.03,5.27,92.2,91.3,68.9,28,70,28.22,325,2049,4437,2720
2017,eng Manchester Utd,27.2,20.5,1.18,5,89.4,87.9,63.9,12,54,18.75,216,1556,2571,1222
2017,it Milan,26,12.8,0.96,2.67,86.2,84.7,54.9,13,39,13.33,181,1288,1478,648
2017,fr Paris S-G,27.3,13.9,1.5,4.37,92.7,91.4,67.3,21,21,20.62,181,1998,2661,1183
2017,pt Porto,26.3,19.6,1.21,2.83,86.8,83,53.7,8,26,17.33,161,1106,1349,813
2017,de RB Leipzig,25,17.3,1.85,5.17,89.1,84,50.9,11,12,26,170,1173,1495,940
2017,at RB Salzburg,22.9,17.3,1.05,4.25,84.1,80.9,49.5,9,22,17.12,271,1457,1857,1068
2017,es Real Madrid,28,16,1.41,4.83,92.8,90.3,63.9,26,85,23.93,368,3127,3737,2521
2017,es Sevilla,28.9,13.4,0.94,3.33,87.1,87.4,64.3,6,72,20.17,137,1404,1741,1013
2017,ua Shakhtar,25.2,13,1.14,3.33,93.3,91.5,68,18,8,24,119,1191,2165,1078
2017,md Sheriff Tiraspol,26,7.5,0.73,3.5,86.9,81.4,51.3,3,12,14.67,173,1279,869,467
2017,pt Sporting CP,26.7,10.7,1.22,3.75,87.1,85.8,54.5,14,28,17,249,1690,1905,676
2017,es Villarreal,28,15.4,1.5,3.67,88.3,84.8,52.4,22,30,16.33,310,2523,2569,1516
2017,de Wolfsburg,26.1,15.6,0.81,1.83,80.9,83,56,3,18,11.5,171,1303,1371,567
2017,ch Young Boys,25.5,10.9,1.23,4.17,86.9,87.7,58.7,6,20,21.5,202,1295,1553,806
2017,ru Zenit,27.9,10.4,1.38,4.17,89.8,87.7,62,8,33,23.83,139,1149,1587,881
2017,nl vs Ajax,26.6,13.5,1.06,2.5,84.6,83.6,53.2,14,24,17.25,243,1722,1622,739
2017,it vs Atalanta,26.9,14.1,1.52,5.67,86.8,84.5,53,10,29,20.17,212,1330,1504,830
2017,es vs Atlético Madrid,27.2,19.3,1.17,3.4,91.5,88.9,62.9,13,65,19.7,240,1775,3422,1784
2017,es vs Barcelona,26.7,10,1.46,4,88.8,88.2,62.5,8,21,17.17,194,1386,1413,651
2017,de vs Bayern Munich,26,11.8,0.77,2.5,86.3,84.5,51.8,10,31,13,284,2190,1923,1035
2017,pt vs Benfica,26.2,19,2.07,5.1,91.3,88.3,64.5,15,36,27.4,280,1921,3432,2113
2017,tr vs Beşiktaş,26.3,14.9,2.9,6.67,88.7,88.8,60.2,11,16,36.17,176,983,1981,1176
2017,eng vs Chelsea,27.7,9.9,0.99,2.13,87.7,83.8,54.3,13,47,14.03,284,2310,2249,1022
2017,be vs Club Brugge,26.7,15.3,2.85,7.33,91,88.7,61.6,22,19,31.33,168,1352,2155,1180
2017,de vs Dortmund,27.2,17.2,1.13,3.67,90.2,88.5,61.6,10,24,18.17,196,1290,1755,886
2017,ua vs Dynamo Kyiv,27.1,18.4,1.41,4.5,90.1,91.6,70.8,5,23,24.5,137,882,2307,1362
2017,it vs Inter,26.5,13.4,0.97,2.37,91.1,89.7,64.6,10,25,19.13,170,1783,2344,1183
2017,it vs Juventus,27.8,14.1,1.15,2.75,91.3,87.7,58.7,8,30,20.25,182,1418,2189,1469
2017,fr vs Lille,26.6,14.8,0.76,2.75,86.2,86.7,57.8,8,51,15.62,234,1802,2234,1147
2017,eng vs Liverpool,27.5,16.3,1.01,2.15,85.5,82.1,48.4,32,66,10.85,398,3086,2636,1179
2017,se vs Malmö,27.8,12.5,1.87,6.5,89.8,90.8,69.4,18,27,32,167,879,2351,1318
2017,eng vs Manchester City,26.9,14.3,0.8,2.59,90.3,87.3,49.8,16,48,13.38,312,2835,2644,1094
2017,eng vs Manchester Utd,27.3,15.2,1.33,4.12,87.7,86,57.4,6,40,21.75,219,1561,2113,1070
2017,it vs Milan,27,15.8,1.45,4.5,88.2,85.4,58.6,12,39,29,195,987,1699,1092
2017,fr vs Paris S-G,26.5,17.3,1.55,4.87,91,87,64.6,15,49,27.25,250,1176,1967,1736
2017,pt vs Porto,27.1,14.3,1.47,4.67,85.3,85.7,57.2,12,37,17.5,157,1267,1563,735
2017,de vs RB Leipzig,27,14.4,1.45,4.17,86.9,85.6,63,10,30,18.67,171,1358,1705,720
2017,at vs RB Salzburg,27,15.2,1.3,3.38,86.8,84.4,63.9,6,57,20.25,207,1831,2332,1145
2017,es vs Real Madrid,26.9,17.5,1.47,5.2,92.8,89.4,61.7,28,40,27.15,344,2596,3964,2615
2017,es vs Sevilla,25.1,14.3,0.77,2.83,83.7,82,48.6,3,18,15.5,172,1138,1253,636
2017,ua vs Shakhtar,27.7,9.4,1.69,5.83,91.1,90.8,60.8,11,35,24.83,174,1256,1370,844
2017,md vs Sheriff Tiraspol,27.3,19.3,1.91,7,92.1,90.8,77,9,19,41.33,139,876,2356,1731
2017,pt vs Sporting CP,27,22.2,1.49,4.37,90,89,66.4,12,34,20.75,206,1383,2891,1371
2017,es vs Villarreal,27.1,21.5,1.55,4.58,89.9,88.4,61.6,25,64,27.42,362,2214,3696,2296
2017,de vs Wolfsburg,26.2,13.9,1.72,5.33,86.8,85.9,59.6,6,38,22,153,943,1963,1027
2017,ch vs Young Boys,27.5,19.6,1.72,5.33,87.7,88,62,5,31,18.67,179,1144,1743,801
2017,ru vs Zenit,27.4,11.6,1.2,4.17,92.6,89.6,63.9,8,25,23.33,114,1096,1988,1119
2018,gr AEK Athens,26,10.6,0.78,1.5,86.5,83.6,57.9,3,30,11.67,185,1064,1611,498
2018,nl Ajax,24.3,12.6,1.73,5.67,88.8,85.1,49.5,18,32,27.42,440,2244,3815,1967
2018,es Atlético Madrid,26.4,11.8,1.01,3.75,88.5,83.7,55.3,11,35,20.37,231,1176,2552,1434
2018,es Barcelona,27.7,12,1.86,6.42,93,90.2,69.2,41,46,30,321,2460,5027,2321
2018,de Bayern Munich,28.3,17.9,1.65,5.5,89.7,88.4,64.7,9,69,23.12,283,1962,2827,1163
2018,pt Benfica,25.5,18.4,1.03,5,86.7,85.4,52.1,5,24,22,223,1097,1714,722
2018,be Club Brugge,24.9,11.6,0.78,2.5,85.6,85.3,59.5,1,32,14.83,195,1035,1660,706
