,Per90npxG,SoT/90,SCA90,Poss,LongCmp%,SweeperAvgDist,TacklesAtt3rd,PassTypesTB
0,18,27,18.4,65.8,61.4,29.62,6,2.27
1,6,25,17.9,62.1,52,25.33,5.17,1.7
2,15,16,13.2,47.3,40.6,15.4,2.5,1.14
3,4,18,14.8,65.2,57.8,19.33,1.83,1.08
4,18,32,22.1,69.7,62.9,34.2,6.6,2.33
5,10,6,13.6,55.5,38.9,15.9,3.4,1.1
6,13,8,22.8,55,44.2,14.33,1.83,0.9
7,11,38,20.5,60.5,61,28.84,5.23,1.68
8,9,14,16.5,54.8,38.8,17.67,4.33,1.02
9,7,12,15.8,60.8,51.8,25.67,4.5,1.65
10,6,8,7.7,56.2,41.2,14,2.83,0.71
11,12,26,12.2,66,49.1,28,4.75,1.59
12,18,25,13.1,66,51.5,23.25,4.25,1.46
13,5,18,9.4,56.4,46.8,18.62,2.5,1.11
14,25,46,18.2,63.7,61.8,30,6.08,1.98
15,6,4,12.7,53.3,38,10.33,1.17,0.27
16,28,29,18.6,68.9,60.1,28.22,5.27,2.03
17,12,19,20.5,63.9,53.9,18.75,5,1.18
18,13,7,12.8,54.9,46.8,13.33,2.67,0.96
19,21,13,13.9,67.3,54.9,20.62,4.37,1.5
20,8,16,19.6,53.7,47.8,17.33,2.83,1.21
21,11,20,17.3,50.9,49,26,5.17,1.85
22,9,25,17.3,49.5,44.4,17.12,4.25,1.05
23,26,34,16,63.9,51.1,23.93,4.83,1.41
24,6,11,13.4,64.3,60.5,20.17,3.33,0.94
25,18,12,13,68,58.8,24,3.33,1.14
26,3,9,7.5,51.3,29.8,14.67,3.5,0.73
27,14,13,10.7,54.5,41.4,17,3.75,1.22
28,22,23,15.4,52.4,43.2,16.33,3.67,1.5
29,3,12,15.6,56,43.2,11.5,1.83,0.81
30,6,10,10.9,58.7,50,21.5,4.17,1.23
31,8,8,10.4,62,45.7,23.83,4.17,1.38
32,14,8,13.5,53.2,38.3,17.25,2.5,1.06
33,10,16,14.1,53,48,20.17,5.67,1.52
34,13,22,19.3,62.9,59.9,19.7,3.4,1.17
35,8,7,10,62.5,41.8,17.17,4,1.46
36,10,16,11.8,51.8,36.7,13,2.5,0.77
37,15,33,19,64.5,61,27.4,5.1,2.07
38,11,22,14.9,60.2,55.7,36.17,6.67,2.9
39,13,15,9.9,54.3,38.7,14.03,2.13,0.99
40,22,15,15.3,61.6,61.5,31.33,7.33,2.85
41,10,14,17.2,61.6,48.2,18.17,3.67,1.13
42,5,10,18.4,70.8,59.2,24.5,4.5,1.41
43,10,14,13.4,64.6,51,19.13,2.37,0.97
44,8,18,14.1,58.7,48.5,20.25,2.75,1.15
45,8,18,14.8,57.8,53.6,15.62,2.75,0.76
46,32,17,16.3,48.4,37.5,10.85,2.15,1.01
47,18,29,12.5,69.4,62.5,32,6.5,1.87
48,16,15,14.3,49.8,39.3,13.38,2.59,0.8
49,6,16,15.2,57.4,46,21.75,4.12,1.33
50,12,22,15.8,58.6,53,29,4.5,1.45
51,15,35,17.3,64.6,45,27.25,4.87,1.55
52,12,9,14.3,57.2,52,17.5,4.67,1.47
53,10,9,14.4,63,50.8,18.67,4.17,1.45
54,6,15,15.2,63.9,55.9,20.25,3.38,1.3
55,28,29,17.5,61.7,48.7,27.15,5.2,1.47
56,3,18,14.3,48.6,39,15.5,2.83,0.77
57,11,16,9.4,60.8,40.7,24.83,5.83,1.69
58,9,24,19.3,77,70.8,41.33,7,1.91
59,12,17,22.2,66.4,58.9,20.75,4.37,1.49
60,25,44,21.5,61.6,56.9,27.42,4.58,1.55
61,6,17,13.9,59.6,56.7,22,5.33,1.72
62,5,15,19.6,62,50.2,18.67,5.33,1.72
63,8,9,11.6,63.9,54.3,23.33,4.17,1.2
64,3,5,10.6,57.9,40.8,11.67,1.5,0.78
65,18,38,12.6,49.5,52.9,27.42,5.67,1.73
66,11,15,11.8,55.3,48.9,20.37,3.75,1.01
67,41,24,12,69.2,61.4,30,6.42,1.86
68,9,16,17.9,64.7,56.9,23.12,5.5,1.65
69,5,7,18.4,52.1,44.3,22,5,1.03
70,1,9,11.6,59.5,40.2,14.83,2.5,0.78
71,3,7,12.1,49.9,44.7,23.67,4.83,0.88
72,19,18,14.3,71.7,60.6,21.62,3.87,1.43
73,6,11,13.8,64.4,53.5,20.83,3,1.25
74,7,13,19.1,55.9,45,27.5,5.17,1.72
75,12,4,12,60.6,47.7,27,4.33,1.43
76,8,18,15.5,66,55.2,29.1,4,1.67
77,31,38,17.4,54.9,51.6,25.92,4,1.86
78,3,12,10.4,48.1,45.8,23.17,2.17,0.97
79,19,8,15.5,55.6,43.6,25.5,5.25,1.53
80,34,23,18.4,74.1,63,32.3,6.4,1.98
81,10,14,9.4,60.5,45.6,20.2,2.9,0.89
82,8,5,12.2,61.5,45,17.5,3.17,0.72
83,6,6,16,62.3,56.3,26.17,5.17,1.68
84,23,9,9.2,65,58.5,27.12,7.12,2.11
85,10,23,15.7,55.4,53,22.06,4.65,1.25
86,13,11,10.2,49.3,31.8,22,4.33,1.19
