,PC1,PC2
Year,0.013774492596563246,0.5758430841217149
Posession,0.3787455858893921,0.0025023633900104203
GoalsAgainstPer90,-0.3156135403461997,-0.009127385373558495
GoalieSave%,0.13853093068965186,-0.0336729996553402
TotalWins,0.3166292257932884,-0.0003690813461093203
GoalieLaunchedComp%,0.09098903672811912,-0.20963353963804415
GoaliePassesLaunch%,-0.30933518078084665,-0.08424855007435816
StandardSh/90,0.3583901917653463,-0.038089281303056624
StandardSoT/90,0.35536782447284104,-0.0035926343228127947
TotalPassCmp%,0.3305969941390473,0.011082797642609485
ChallengesTkl%,0.0943443020218222,0.5079685365201552
Take-OnsSucc%,0.08681832415170904,-0.5970837079299748
TeamSuccess(xG)xG+/-90,0.39099300751431215,0.0030996903522004246
