,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
0,41.4,2017,52.2,37.5,19.5,84.5,61.4,6,72.7,1,1.12,6,16
1,58.8,2017,46.3,37.9,23.9,80.1,52,1,61.8,2.17,0.18,5.17,13.67
2,42.2,2017,58.2,25.3,60.3,74.7,40.6,3,77.8,1,-0.11,2.5,9.5
3,44.8,2017,68.1,44.2,18.6,85,57.8,2,68,1.5,-0.51,1.83,10
4,42.9,2017,68.6,61.2,17.4,85.8,62.9,7,72,0.7,1.86,6.6,18.6
5,44.1,2017,53.7,35.3,41.9,77.4,38.9,3,67.3,1.7,-0.97,3.4,9.2
6,39.3,2017,61.6,45.6,38.1,78.1,44.2,0,62.8,3.17,-2.26,1.83,8
7,48.9,2017,55.4,28.3,16.2,86.3,61,7,60.9,0.97,0.77,5.23,16.06
8,44.8,2017,63.8,54.1,44.3,72.9,38.8,1,63.8,3.33,-2.23,4.33,10.17
9,44.5,2017,65.2,54.8,23.8,81.7,51.8,3,52.2,1.83,0.64,4.5,13.83
10,33.8,2017,48.1,36.3,40.6,79.7,41.2,0,64.3,1.83,-0.82,2.83,8
11,44.8,2017,47.3,41.5,16,83.4,49.1,4,63.2,0.87,0.62,4.75,16.62
12,43.6,2017,63.2,36,23.9,84.4,51.5,5,66.7,1.25,0.34,4.25,12.75
13,55.8,2017,57.6,26.1,47.5,76.9,46.8,3,75,1,0.37,2.5,11
14,48.4,2017,53.9,46.4,15.4,84.2,61.8,10,50,1.08,1.09,6.08,17.08
15,34.4,2017,56.3,28.1,49.1,76.6,38,0,77.3,2.33,-2.25,1.17,6
16,49.7,2017,59.7,43.4,19.8,87.2,60.1,7,58.8,1.3,1.23,5.27,15.41
17,52.5,2017,51.9,34.2,36.5,82.5,53.9,3,69.7,1.25,-0.15,5,10.87
18,47.5,2017,57.4,34.8,28.1,77.6,46.8,1,72.4,1.5,-0.74,2.67,8
19,41.6,2017,60.1,30.6,16.7,87.6,54.9,4,75.6,1.37,0.16,4.37,10.62
20,37.9,2017,50,37.6,52.8,75.5,47.8,1,60.7,1.83,-0.13,2.83,10.67
21,34.9,2017,57,36.6,33.7,78.3,49,2,55.6,2.33,0.4,5.17,14.5
22,43.6,2017,49.3,33,36.7,73,44.4,3,63.3,1.75,-0.06,4.25,10.5
23,42.1,2017,56.9,26.9,28,85.7,51.1,9,80.6,1.02,0.06,4.83,13.1
24,40.6,2017,48.5,43.9,30.1,80.4,60.5,1,84.2,0.83,-0.09,3.33,11.5
25,39.7,2017,57.7,46.7,16.6,88.6,58.8,0,65.7,2,-0.55,3.33,13.17
26,42,2017,60,42.7,42.6,74.6,29.8,2,76.7,1.83,-1.32,3.5,9
27,37,2017,55.1,28,35,78.7,41.4,3,55.6,2.12,-0.07,3.75,9.37
28,41.6,2017,44.5,25.7,38.3,78.3,43.2,5,70.9,1.33,0.07,3.67,9.58
29,48.8,2017,51.6,40.2,37.1,74.4,43.2,1,72.7,1.67,-1.04,1.83,7
30,52,2017,45.8,39.7,38.7,79.9,50,1,62.5,2,-0.5,4.17,13.67
31,39.8,2017,62,48,36.5,82.3,45.7,1,65.4,1.67,0.31,4.17,13.17
32,47.4,2017,58.6,44,41.7,76.1,38.3,1,57.1,2.75,-1.12,2.5,9.62
33,53.7,2017,41.2,29.7,57.1,76.9,48,2,61.3,2,-0.18,5.67,12.67
34,41.8,2017,57.8,35.7,25.1,84.1,59.9,4,69.2,0.9,0.11,3.4,11.1
35,31.9,2017,55.2,38,35.8,81.6,41.8,3,81.8,0.33,0.51,4,9.83
36,31.4,2017,57.1,39.4,39.4,76.8,36.7,1,60,3.1,-1.86,2.5,7.6
37,46.3,2017,55.6,35.8,19.1,84.1,61,3,62.9,1.4,0.97,5.1,14.6
38,38.4,2017,60.7,21.6,21,82.8,55.7,6,83.3,0.5,2.26,6.67,19
39,44.6,2017,51.1,22.4,33,78.3,38.7,2,66.1,2.03,-0.77,2.13,8.13
40,36.2,2017,55.2,29.6,26.5,84.2,61.5,4,76.9,1,2.23,7.33,17.17
41,34.8,2017,55,34.4,29,82.5,48.2,3,72.4,1.67,-0.64,3.67,10.17
42,51.9,2017,66.2,57.9,19.3,86.5,59.2,5,94.1,0.17,0.82,4.5,13.5
43,52.7,2017,55.2,40,24,85.3,51,3,76.3,1.13,-0.62,2.37,10.75
44,36.8,2017,56.4,32.1,30.5,83.3,48.5,2,75,1.37,-0.34,2.75,11.37
45,42.4,2017,44.2,36.3,28.7,79.7,53.6,3,72.7,1,-0.37,2.75,9.12
46,45.9,2017,51.6,29.2,41.1,74.1,37.5,2,64.2,2.31,-1.09,2.15,6.46
47,43.7,2017,65.6,45.5,19.8,85.6,62.5,5,85.7,0.17,2.25,6.5,17
48,40.3,2017,50.3,32.7,42.8,80.1,39.3,3,59.7,2.35,-1.23,2.59,7.3
49,48.1,2017,47.5,29.1,28.8,79.7,46,2,70,1.5,0.15,4.12,13.5
50,42.6,2017,52.5,39.4,40.9,79.6,53,4,62.5,1,0.74,4.5,17
51,39.9,2017,58.4,56.4,21.5,83.1,45,2,65.8,1.87,-0.16,4.87,15.25
52,50,2017,62.1,42.4,30.2,77.8,52,3,83.3,0.67,0.13,4.67,10.67
53,43,2017,65.1,50.8,27.4,79.6,50.8,3,61.8,2.5,-0.4,4.17,10.5
54,50.7,2017,56.4,43.8,36.5,79,55.9,3,81.1,1.25,0.06,3.38,11.37
55,43.1,2017,57.9,38.1,24.1,85.8,48.7,4,62.3,2.12,-0.06,5.2,14.93
56,51.5,2017,59.4,25,42.2,73.5,39,2,86.4,0.83,0.09,2.83,9
57,42.3,2017,60.3,40.6,25.7,83.9,40.7,4,90,0.33,0.55,5.83,15.17
58,40,2017,58,60,7.6,87.8,70.8,3,66.7,1.17,1.32,7,23
59,44.9,2017,63,54.7,20,84.4,58.9,4,63.6,1.75,0.07,4.37,12
60,55.5,2017,58.4,40.8,21,82.9,56.9,4,60.9,1.67,-0.07,4.58,15.42
